3009
tr_chr1_3352_3551_83	3351	3550	3550	1	1	0	35
tr_chr1_3553_3752_84	3552	3751	3550	1	1	1	35
tr_chr1_3754_3953_85	3753	3952	3751	1	1	2	35
tr_chr1_3857_4056_236	3856	4055	3952	1	1	3	84
tr_chr1_3955_4154_86	3954	4153	4055	1	1	4	35
tr_chr1_4058_4257_237	4057	4256	4153	1	1	5	84
tr_chr1_4156_4355_87	4155	4354	4256	1	1	6	35
tr_chr1_4259_4458_238	4258	4457	4354	1	1	7	84
tr_chr1_4460_4659_239	4459	4658	4457	1	1	8	84
tr_chr1_4661_4860_240	4660	4859	4658	1	1	9	84
tr_chr1_12093_12292_4	12092	12291	4859	1	1	10	2
tr_chr1_12294_12493_5	12293	12492	12291	1	1	11	2
tr_chr1_12495_12694_6	12494	12693	12492	1	1	12	2
tr_chr1_12696_12895_7	12695	12894	12693	1	1	13	2
tr_chr1_17614_17813_123	17613	17812	12894	1	1	14	47
tr_chr1_17674_17873_81	17673	17872	17812	1	1	15	34
tr_chr1_17815_18014_124	17814	18013	17872	1	1	16	47
tr_chr1_17875_18074_82	17874	18073	18013	1	1	17	34
tr_chr1_18016_18215_125	18015	18214	18073	1	1	18	47
tr_chr1_20027_20226_212	20026	20225	18214	1	1	19	76
tr_chr1_20228_20427_213	20227	20426	20225	1	1	20	76
tr_chr1_22724_22923_269	22723	22922	20426	1	1	21	95
tr_chr1_24543_24742_30	24542	24741	22922	1	1	22	11
tr_chr1_24744_24943_31	24743	24942	24741	1	1	23	11
tr_chr1_24945_25144_32	24944	25143	24942	1	1	24	11
tr_chr1_30564_30763_24	30563	30762	25143	1	1	25	9
tr_chr1_30765_30964_25	30764	30963	30762	1	1	26	9
tr_chr1_30966_31165_26	30965	31164	30963	1	1	27	9
tr_chr1_42232_42431_34	42231	42430	31164	1	1	28	13
tr_chr1_43034_43233_9	43033	43232	42430	1	1	29	4
tr_chr1_43198_43397_46	43197	43396	43232	1	1	30	19
tr_chr1_43235_43434_10	43234	43433	43396	1	1	31	4
tr_chr1_43436_43635_11	43435	43634	43433	1	1	32	4
tr_chr1_43637_43836_12	43636	43835	43634	1	1	33	4
tr_chr1_45416_45615_263	45415	45614	43835	1	1	34	93
tr_chr1_47065_47264_54	47064	47263	45614	1	1	35	25
tr_chr1_56812_57011_139	56811	57010	47263	1	1	36	54
tr_chr1_57013_57212_140	57012	57211	57010	1	1	37	54
tr_chr1_57214_57413_141	57213	57412	57211	1	1	38	54
tr_chr1_62535_62734_19	62534	62733	57412	1	1	39	8
tr_chr1_62736_62935_20	62735	62934	62733	1	1	40	8
tr_chr1_62937_63136_21	62936	63135	62934	1	1	41	8
tr_chr1_63138_63337_22	63137	63336	63135	1	1	42	8
tr_chr1_63339_63538_23	63338	63537	63336	1	1	43	8
tr_chr1_64413_64612_72	64412	64611	63537	1	1	44	32
tr_chr1_64614_64813_73	64613	64812	64611	1	1	45	32
tr_chr1_64815_65014_74	64814	65013	64812	1	1	46	32
tr_chr1_65016_65215_75	65015	65214	65013	1	1	47	32
tr_chr1_69183_69382_156	69182	69381	65214	1	1	48	59
tr_chr1_69827_70026_136	69826	70025	69381	1	1	49	53
tr_chr1_70028_70227_137	70027	70226	70025	1	1	50	53
tr_chr1_70229_70428_138	70228	70427	70226	1	1	51	53
tr_chr1_70269_70468_257	70268	70467	70427	1	1	52	89
tr_chr1_70470_70669_258	70469	70668	70467	1	1	53	89
tr_chr1_70671_70870_259	70670	70869	70668	1	1	54	89
tr_chr1_72903_73102_175	72902	73101	70869	1	1	55	67
tr_chr1_73104_73303_176	73103	73302	73101	1	1	56	67
tr_chr1_73305_73504_177	73304	73503	73302	1	1	57	67
tr_chr1_73506_73705_178	73505	73704	73503	1	1	58	67
tr_chr1_77592_77791_97	77591	77790	73704	1	1	59	40
tr_chr1_77793_77992_98	77792	77991	77790	1	1	60	40
tr_chr1_77994_78193_99	77993	78192	77991	1	1	61	40
tr_chr1_78195_78394_100	78194	78393	78192	1	1	62	40
tr_chr1_78396_78595_101	78395	78594	78393	1	1	63	40
tr_chr1_78819_79018_93	78818	79017	78594	1	1	64	38
tr_chr1_79020_79219_94	79019	79218	79017	1	1	65	38
tr_chr1_79486_79685_107	79485	79684	79218	1	1	66	43
tr_chr1_79687_79886_108	79686	79885	79684	1	1	67	43
tr_chr1_79888_80087_109	79887	80086	79885	1	1	68	43
tr_chr1_80089_80288_110	80088	80287	80086	1	1	69	43
