3009
3351	3550	1	35	83
3552	3751	1	35	84
3753	3952	1	35	85
3856	4055	1	84	236
3954	4153	1	35	86
4057	4256	1	84	237
4155	4354	1	35	87
4258	4457	1	84	238
4459	4658	1	84	239
4660	4859	1	84	240
12092	12291	1	2	4
12293	12492	1	2	5
12494	12693	1	2	6
12695	12894	1	2	7
17613	17812	1	47	123
17673	17872	1	34	81
17814	18013	1	47	124
17874	18073	1	34	82
18015	18214	1	47	125
20026	20225	1	76	212
20227	20426	1	76	213
22723	22922	1	95	269
24542	24741	1	11	30
24743	24942	1	11	31
24944	25143	1	11	32
30563	30762	1	9	24
30764	30963	1	9	25
30965	31164	1	9	26
42231	42430	1	13	34
43033	43232	1	4	9
43197	43396	1	19	46
43234	43433	1	4	10
43435	43634	1	4	11
43636	43835	1	4	12
45415	45614	1	93	263
47064	47263	1	25	54
56811	57010	1	54	139
57012	57211	1	54	140
57213	57412	1	54	141
62534	62733	1	8	19
62735	62934	1	8	20
62936	63135	1	8	21
63137	63336	1	8	22
63338	63537	1	8	23
64412	64611	1	32	72
64613	64812	1	32	73
64814	65013	1	32	74
65015	65214	1	32	75
69182	69381	1	59	156
69826	70025	1	53	136
70027	70226	1	53	137
70228	70427	1	53	138
70268	70467	1	89	257
70469	70668	1	89	258
70670	70869	1	89	259
72902	73101	1	67	175
73103	73302	1	67	176
73304	73503	1	67	177
73505	73704	1	67	178
77591	77790	1	40	97
77792	77991	1	40	98
77993	78192	1	40	99
78194	78393	1	40	100
78395	78594	1	40	101
78818	79017	1	38	93
79019	79218	1	38	94
79485	79684	1	43	107
79686	79885	1	43	108
79887	80086	1	43	109
80088	80287	1	43	110
80289	80488	1	43	111
83838	84037	1	98	272
84039	84238	1	98	273
84240	84439	1	98	274
84441	84640	1	98	275
86907	87106	1	28	60
87108	87307	1	28	61
104938	105137	1	27	59
107463	107662	1	99	276
107664	107863	1	99	277
107865	108064	1	99	278
108066	108265	1	99	279
116490	116689	1	15	36
116643	116842	1	46	119
116844	117043	1	46	120
117045	117244	1	46	121
117246	117445	1	46	122
121743	121942	1	3	8
123482	123681	1	55	142
123683	123882	1	55	143
123884	124083	1	55	144
133286	133485	1	5	13
133487	133686	1	5	14
145116	145315	1	7	16
145317	145516	1	7	17
145518	145717	1	7	18
146670	146869	1	39	95
146871	147070	1	39	96
152370	152569	1	31	68
152571	152770	1	31	69
152772	152971	1	31	70
152973	153172	1	31	71
158143	158342	1	18	45
158632	158831	1	33	76
158833	159032	1	33	77
159034	159233	1	33	78
159235	159434	1	33	79
159436	159635	1	33	80
159620	159819	1	48	126
159821	160020	1	48	127
160022	160221	1	48	128
162782	162981	1	65	173
171887	172086	1	30	64
172088	172287	1	30	65
172289	172488	1	30	66
172490	172689	1	30	67
172656	172855	1	62	165
174635	174834	1	22	50
174836	175035	1	22	51
175869	176068	1	63	166
176070	176269	1	63	167
176271	176470	1	63	168
176472	176671	1	63	169
182030	182229	1	36	88
182231	182430	1	36	89
186167	186366	1	87	251
201839	202038	1	91	261
203461	203660	1	20	47
203662	203861	1	20	48
206846	207045	1	0	0
207047	207246	1	0	1
207248	207447	1	0	2
208064	208263	1	77	214
208265	208464	1	77	215
208466	208665	1	77	216
208667	208866	1	77	217
208868	209067	1	77	218
210151	210350	1	80	223
210352	210551	1	80	224
210553	210752	1	80	225
210754	210953	1	80	226
210943	211142	1	75	209
211144	211343	1	75	210
211345	211544	1	75	211
222559	222758	1	45	114
222760	222959	1	45	115
222961	223160	1	45	116
223162	223361	1	45	117
223363	223562	1	45	118
236476	236675	1	64	170
236677	236876	1	64	171
236878	237077	1	64	172
239057	239256	1	96	270
255485	255684	1	74	205
255686	255885	1	74	206
255887	256086	1	74	207
256088	256287	1	74	208
280333	280532	1	24	53
282257	282456	1	56	145
288859	289058	1	69	183
289060	289259	1	69	184
289261	289460	1	69	185
289462	289661	1	69	186
289663	289862	1	69	187
290444	290643	1	44	112
290645	290844	1	44	113
291772	291971	1	10	27
291973	292172	1	10	28
292174	292373	1	10	29
296374	296573	1	52	134
296575	296774	1	52	135
304732	304931	1	72	197
304933	305132	1	72	198
305134	305333	1	72	199
306295	306494	1	50	131
306496	306695	1	50	132
308940	309139	1	88	252
309141	309340	1	88	253
309342	309541	1	88	254
309543	309742	1	88	255
309744	309943	1	88	256
309898	310097	1	70	188
310099	310298	1	70	189
310300	310499	1	70	190
310501	310700	1	70	191
310702	310901	1	70	192
318584	318783	1	6	15
319589	319788	1	58	151
319790	319989	1	58	152
319948	320147	1	51	133
319991	320190	1	58	153
320192	320391	1	58	154
320393	320592	1	58	155
325800	325999	1	68	179
326001	326200	1	68	180
326202	326401	1	68	181
326403	326602	1	68	182
327004	327203	1	12	33
328512	328711	1	97	271
336475	336674	1	66	174
338156	338355	1	17	42
338357	338556	1	17	43
338558	338757	1	17	44
342844	343043	1	41	102
343045	343244	1	41	103
354443	354642	1	71	193
354644	354843	1	71	194
354845	355044	1	71	195
355046	355245	1	71	196
365183	365382	1	79	220
365384	365583	1	79	221
365585	365784	1	79	222
373986	374185	1	61	162
374187	374386	1	61	163
374388	374587	1	61	164
377619	377818	1	73	200
377820	378019	1	73	201
378021	378220	1	73	202
378222	378421	1	73	203
378423	378622	1	73	204
379559	379758	1	83	232
379760	379959	1	83	233
379961	380160	1	83	234
380162	380361	1	83	235
382641	382840	1	81	227
382842	383041	1	81	228
383043	383242	1	81	229
394808	395007	1	23	52
397852	398051	1	57	146
398053	398252	1	57	147
398071	398270	1	21	49
398254	398453	1	57	148
