100
gene1	gene1	MissingGeneType
gene2	gene2	MissingGeneType
gene3	gene3	MissingGeneType
gene4	gene4	MissingGeneType
gene5	gene5	MissingGeneType
gene6	gene6	MissingGeneType
gene7	gene7	MissingGeneType
gene8	gene8	MissingGeneType
gene9	gene9	MissingGeneType
gene10	gene10	MissingGeneType
gene11	gene11	MissingGeneType
gene12	gene12	MissingGeneType
gene13	gene13	MissingGeneType
gene14	gene14	MissingGeneType
gene15	gene15	MissingGeneType
gene16	gene16	MissingGeneType
gene17	gene17	MissingGeneType
gene18	gene18	MissingGeneType
gene19	gene19	MissingGeneType
gene20	gene20	MissingGeneType
gene21	gene21	MissingGeneType
gene22	gene22	MissingGeneType
gene23	gene23	MissingGeneType
gene24	gene24	MissingGeneType
gene25	gene25	MissingGeneType
gene26	gene26	MissingGeneType
gene27	gene27	MissingGeneType
gene28	gene28	MissingGeneType
gene29	gene29	MissingGeneType
gene30	gene30	MissingGeneType
gene31	gene31	MissingGeneType
gene32	gene32	MissingGeneType
gene33	gene33	MissingGeneType
gene34	gene34	MissingGeneType
gene35	gene35	MissingGeneType
gene36	gene36	MissingGeneType
gene37	gene37	MissingGeneType
gene38	gene38	MissingGeneType
gene39	gene39	MissingGeneType
gene40	gene40	MissingGeneType
gene41	gene41	MissingGeneType
gene42	gene42	MissingGeneType
gene43	gene43	MissingGeneType
gene44	gene44	MissingGeneType
gene45	gene45	MissingGeneType
gene46	gene46	MissingGeneType
gene47	gene47	MissingGeneType
gene48	gene48	MissingGeneType
gene49	gene49	MissingGeneType
gene50	gene50	MissingGeneType
gene51	gene51	MissingGeneType
gene52	gene52	MissingGeneType
gene53	gene53	MissingGeneType
gene54	gene54	MissingGeneType
gene55	gene55	MissingGeneType
gene56	gene56	MissingGeneType
gene57	gene57	MissingGeneType
gene58	gene58	MissingGeneType
gene59	gene59	MissingGeneType
gene60	gene60	MissingGeneType
gene61	gene61	MissingGeneType
gene62	gene62	MissingGeneType
gene63	gene63	MissingGeneType
gene64	gene64	MissingGeneType
gene65	gene65	MissingGeneType
gene66	gene66	MissingGeneType
gene67	gene67	MissingGeneType
gene68	gene68	MissingGeneType
gene69	gene69	MissingGeneType
gene70	gene70	MissingGeneType
gene71	gene71	MissingGeneType
gene72	gene72	MissingGeneType
gene73	gene73	MissingGeneType
gene74	gene74	MissingGeneType
gene75	gene75	MissingGeneType
gene76	gene76	MissingGeneType
gene77	gene77	MissingGeneType
gene78	gene78	MissingGeneType
gene79	gene79	MissingGeneType
gene80	gene80	MissingGeneType
gene81	gene81	MissingGeneType
gene82	gene82	MissingGeneType
gene83	gene83	MissingGeneType
gene84	gene84	MissingGeneType
gene85	gene85	MissingGeneType
gene86	gene86	MissingGeneType
gene87	gene87	MissingGeneType
gene88	gene88	MissingGeneType
gene89	gene89	MissingGeneType
gene90	gene90	MissingGeneType
gene91	gene91	MissingGeneType
gene92	gene92	MissingGeneType
gene93	gene93	MissingGeneType
gene94	gene94	MissingGeneType
gene95	gene95	MissingGeneType
gene96	gene96	MissingGeneType
gene97	gene97	MissingGeneType
gene98	gene98	MissingGeneType
gene99	gene99	MissingGeneType
gene100	gene100	MissingGeneType
